"fname","lname","week","yr","actual","rating","home","pts_1y","xpa_1y","xpm_1y","fga_1y","fgm_1y","gt50_1y","pts_2y","xpa_2y","xpm_2y","fga_2y","fgm_2y","gt50_2y","xpa_1wk","xpm_1wk","fga_1wk","fgm_1wk","gt50_1wk","xpa_2wk","xpm_2wk","fga_2wk","fgm_2wk","gt50_2wk"
" Shayne"," Graham","3","2014","2","7","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","146","45","45","38","31","4","3","3","1","1","0","3","3","1","1","0"
" Stephen"," Hauschka","3","2014","8","14","1","149","44","44","35","33","3","120","48","46","27","24","1","3","3","0","0","0","3","3","0","0","0"
" Sebastian"," Janikowski","3","2014","9","1","0","106","37","37","30","21","3","130","25","25","34","31","6","2","2","0","0","0","2","2","0","0","0"
" Brandon"," McManus","3","2014","4","15","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","1","1","0","3","3","1","1","0"
" Patrick"," Murray","3","2014","2","5","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","2","1","0","2","2","2","1","0"
" Nick"," Novak","3","2014","8","4","0","148","42","42","37","34","2","91","33","33","20","18","2","3","3","3","3","1","3","3","3","3","1"
" Mike"," Nugent","3","2014","7","10","1","112","53","52","22","18","3","94","35","35","23","19","1","3","3","4","1","0","3","3","4","1","0"
" Cody"," Parkey","3","2014","15","13","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","4","3","0","3","3","4","3","0"
" Cairo"," Santos","3","2014","4","11","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","2","1","0","2","2","2","1","0"
" Josh"," Scobee","3","2014","5","13","1","99","23","22","25","23","4","95","19","18","28","25","1","1","1","1","1","0","1","1","1","1","0"
" Caleb"," Sturgis","3","2014","9","18","1","117","33","33","34","26","3","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","1","1","0","1","1","1","1","0"
" Ryan"," Succop","3","2014","1","3","0","120","52","52","28","22","1","105","17","17","34","28","2","1","1","1","1","0","1","1","1","1","0"
" Shaun"," Suisham","3","2014","13","10","0","129","39","39","32","30","0","120","34","34","31","28","1","0","0","2","2","0","0","0","2","2","0"
" Justin"," Tucker","3","2014","11","12","0","152","26","26","41","38","6","140","42","42","33","30","4","2","2","4","4","0","2","2","4","4","0"
" Adam"," Vinatieri","3","2014","14","19","0","147","34","34","40","35","4","123","37","37","33","26","4","3","3","2","2","0","3","3","2","2","0"
" Blair"," Walsh","3","2014","9","20","0","125","44","43","30","26","2","161","36","36","38","35","10","1","1","1","0","0","1","1","1","0","0"
" Greg"," Zuerlein","3","2014","7","10","1","114","34","34","28","26","1","109","26","26","31","23","7","1","1","4","4","0","1","1","4","4","0"
" Dan"," Bailey","4","2014","10","23","1","143","47","47","30","28","6","130","37","37","31","29","3","4","4","2","2","0","4","4","2","2","0"
" Josh"," Brown","4","2014","9","19","0","102","31","31","26","23","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","3","3","0","3","3","3","3","0"
" Matt"," Bryant","4","2014","4","10","0","117","39","39","27","24","3","151","44","44","38","33","4","8","8","1","0","0","8","8","1","0","0"
" Randy"," Bullock","4","2014","15","3","1","106","26","26","35","26","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","1","1","0","2","2","1","1","0"
" Dan"," Carpenter","4","2014","5","2","0","139","32","32","36","33","4","96","26","26","27","22","2","1","1","1","1","0","1","1","1","1","0"
" Mason"," Crosby","4","2014","10","8","0","151","42","42","37","33","5","117","50","50","33","21","2","1","1","0","0","0","1","1","0","0","0"
" Phil"," Dawson","4","2014","16","1","1","148","44","44","36","32","4","130","29","29","31","29","7","2","2","1","0","0","2","2","1","0","0"
" Nick"," Folk","4","2014","5","6","1","132","27","27","36","33","3","99","30","30","27","21","3","1","1","4","4","0","1","1","4","4","0"
" Kai"," Forbath","4","2014","2","12","1","82","26","26","22","18","1","86","34","33","18","17","1","4","4","3","2","0","4","4","3","2","0"
" Graham"," Gano","4","2014","4","11","0","126","42","42","27","24","6","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","2","2","0","1","1","2","2","0"
" Stephen"," Gostkowski","4","2014","2","13","0","168","44","44","41","38","5","157","66","66","35","29","2","1","1","3","3","0","1","1","3","3","0"
" Robbie"," Gould","4","2014","5","18","1","129","46","45","29","26","3","100","33","33","25","21","2","3","3","2","2","0","3","3","2","2","0"
" Shayne"," Graham","4","2014","5","9","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","146","45","45","38","31","4","3","2","0","0","0","3","2","0","0","0"
" Sebastian"," Janikowski","4","2014","2","4","1","106","37","37","30","21","3","130","25","25","34","31","6","0","0","3","3","0","0","0","3","3","0"
" Patrick"," Murray","4","2014","11","16","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","0","0","0","2","2","0","0","0"
" Nick"," Novak","4","2014","15","22","1","148","42","42","37","34","2","91","33","33","20","18","2","2","2","2","2","0","2","2","2","2","0"
" Cody"," Parkey","4","2014","3","8","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","4","4","3","3","1","4","4","3","3","1"
" Cairo"," Santos","4","2014","11","5","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","4","4","0","0","0","4","4","0","0","0"
" Josh"," Scobee","4","2014","2","7","0","99","23","22","25","23","4","95","19","18","28","25","1","2","2","1","1","0","2","2","1","1","0"
" Caleb"," Sturgis","4","2014","8","21","0","117","33","33","34","26","3","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","3","2","1","1","1","3","2","1"
" Ryan"," Succop","4","2014","5","11","0","120","52","52","28","22","1","105","17","17","34","28","2","1","1","2","0","0","1","1","2","0","0"
