"fname","lname","week","yr","actual","rating","home","pts_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","rerec_2y","reyds_2y","retd_2y","pts_1wk","rerec_1wk","reyds_1wk","retd_1wk","pts_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" Jordan"," Cameron","8","2014","4","25","1","127","80","917","7","25","20","226","1","0","1","5","0","16","3","102","1"
" Jordan"," Reed","8","2014","4","15","0","65","45","499","3","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","5","5","54","0","9","8","92","0"
" Julius"," Thomas","8","2014","2","14","1","144","65","788","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","4","27","0","17","4","51","2"
" Lance"," Kendricks","8","2014","6","12","0","44","32","258","4","70","42","519","4","7","2","17","1","8","1","22","1"
" Levine"," Toilolo","8","2014","2","5","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","2","20","0","3","3","34","0"
" Martellus"," Bennett","8","2014","15","3","0","97","65","759","5","86","55","626","5","5","5","58","0","7","4","52","0"
" Rob"," Gronkowski","8","2014","32","13","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","140","55","790","11","6","5","68","0","9","7","94","0"
" Scott"," Chandler","8","2014","7","24","0","69","53","655","2","87","43","571","6","3","3","36","0","10","6","105","0"
" Antonio"," Gates","9","2014","2","1","0","104","77","872","4","89","49","538","7","17","5","54","2","12","3","61","1"
" Charles"," Clay","9","2014","12","19","1","113","69","759","6","29","18","212","2","0","1","1","0","11","4","58","1"
" Coby"," Fleener","9","2014","13","23","0","81","52","608","4","36","26","281","2","0","1","4","0","6","4","64","0"
" Crockett"," Gillmore","9","2014","6","8","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","2","23","0","1","1","13","0"
" Dwayne"," Allen","9","2014","10","23","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","63","45","521","3","8","1","21","1","11","3","52","1"
" Greg"," Olsen","9","2014","3","23","1","110","73","816","6","107","69","843","5","1","1","16","0","10","8","105","0"
" Heath"," Miller","9","2014","1","6","1","57","58","593","1","125","71","816","8","17","7","112","1","1","1","13","0"
" Jason"," Witten","9","2014","6","10","1","127","73","851","8","115","110","1039","3","13","5","70","1","2","2","27","0"
" Jermaine"," Gresham","9","2014","3","18","1","61","46","458","4","95","64","737","5","3","4","34","0","4","10","48","0"
" John"," Carlson","9","2014","7","12","0","33","32","344","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","16","0","2","2","20","0"
" Julius"," Thomas","9","2014","9","3","0","144","65","788","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","2","23","0","2","4","27","0"
" Mychal"," Rivera","9","2014","15","15","0","61","38","407","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","8","7","83","0","1","1","18","0"
" Rob"," Gronkowski","9","2014","16","16","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","140","55","790","11","32","9","149","3","6","5","68","0"
" Travis"," Kelce","9","2014","12","24","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","4","4","45","0","3","4","33","0"
" Austin"," Seferian-Jenkins","10","2014","9","19","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","3","0","7","3","26","1"
" Brent"," Celek","10","2014","11","22","1","76","32","502","6","66","57","684","1","0","2","7","0","0","2","8","0"
" Charles"," Clay","10","2014","4","7","0","113","69","759","6","29","18","212","2","12","5","65","1","0","1","1","0"
" Greg"," Olsen","10","2014","11","1","0","110","73","816","6","107","69","843","5","3","3","30","0","1","1","16","0"
" Heath"," Miller","10","2014","2","27","0","57","58","593","1","125","71","816","8","1","1","14","0","17","7","112","1"
" Jared"," Cook","10","2014","14","5","0","89","51","671","5","69","44","523","4","1","2","12","0","1","1","11","0"
" Jason"," Witten","10","2014","9","20","0","127","73","851","8","115","110","1039","3","6","6","62","0","13","5","70","1"
" Jermaine"," Gresham","10","2014","2","9","1","61","46","458","4","95","64","737","5","3","5","36","0","3","4","34","0"
" Jimmy"," Graham","10","2014","19","15","1","211","86","1215","16","144","85","982","9","14","7","83","1","11","5","59","1"
" John"," Carlson","10","2014","3","18","1","33","32","344","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","7","2","19","1","1","2","16","0"
" Julius"," Thomas","10","2014","18","29","0","144","65","788","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","9","2","33","1","2","2","23","0"
" Lance"," Kendricks","10","2014","3","5","0","44","32","258","4","70","42","519","4","0","1","7","0","6","1","1","1"
" Mychal"," Rivera","10","2014","12","17","1","61","38","407","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","15","8","38","2","8","7","83","0"
" Travis"," Kelce","10","2014","1","8","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","12","4","67","1","4","4","45","0"
" Zach"," Ertz","10","2014","1","22","1","64","36","469","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","4","0","4","5","48","0"
" Brent"," Celek","11","2014","1","4","0","76","32","502","6","66","57","684","1","11","5","116","0","0","2","7","0"
" Charles"," Clay","11","2014","3","6","1","113","69","759","6","29","18","212","2","4","7","45","0","12","5","65","1"
" Gary"," Barnidge","11","2014","1","3","1","20","13","127","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","4","2","46","0","1","2","16","0"
" Greg"," Olsen","11","2014","6","18","1","110","73","816","6","107","69","843","5","11","6","119","0","3","3","30","0"
" Heath"," Miller","11","2014","7","21","0","57","58","593","1","125","71","816","8","2","3","29","0","1","1","14","0"
" Jared"," Cook","11","2014","1","19","1","89","51","671","5","69","44","523","4","14","2","84","1","1","2","12","0"
" Jermaine"," Gresham","11","2014","13","25","0","61","46","458","4","95","64","737","5","2","3","29","0","3","5","36","0"
" Jimmy"," Graham","11","2014","2","21","1","211","86","1215","16","144","85","982","9","19","10","76","2","14","7","83","1"
